Time (s),Channel 1 (V)
-0.000295673,-0.426769542
-0.000289423,-0.426769542
-0.000283173,-0.451292515
-0.000276923,-0.459466839
-0.000270673,-0.549384408
-0.000264423,-0.606604679
-0.000258173,-0.680173598
-0.000251923,-0.761916842
-0.000245673,-0.819137113
-0.000239423,-0.868183059
-0.000233173,-0.900880357
-0.000226923,-0.958100628
-0.000220673,-0.933577654
-0.000214423,-0.933577654
-0.000208173,-0.917229006
-0.000201923,-0.876357384
-0.000195673,-0.802788464
-0.000189423,-0.712870896
-0.000183173,-0.614779003
-0.000176923,-0.500338461
-0.000170673,-0.402246569
-0.000164423,-0.304154676
-0.000158173,-0.246934405
-0.000151923,-0.157016837
-0.000145673,-0.10797089
-0.000139423,-0.075273593
-0.000133173,-0.067099268
-0.000126923,-0.058924944
-0.000120673,-0.05075062
-0.000114423,-0.099796566
-0.000108173,-0.148842512
-0.000101923,-0.18153981
-9.57E-05,-0.230585756
-8.94E-05,-0.255108729
-8.32E-05,-0.320503325
-7.69E-05,-0.353200622
-7.07E-05,-0.394072244
-6.44E-05,-0.394072244
-5.82E-05,-0.418595217
-5.19E-05,-0.38589792
-4.57E-05,-0.336851973
-3.94E-05,-0.271457378
-3.32E-05,-0.197888459
-2.69E-05,-0.058924944
-2.07E-05,0.080038571
-1.44E-05,0.219002086
-8.17E-06,0.341616952
-1.92E-06,0.464231817
4.33E-06,0.570498035
1.06E-05,0.619543981
1.68E-05,0.611369657
2.31E-05,0.56232371
2.93E-05,0.464231817
3.56E-05,0.284396681
4.18E-05,0.088212895
4.81E-05,-0.214237107
5.43E-05,-0.500338461
6.06E-05,-0.79461414
6.68E-05,-1.097064142
7.31E-05,-1.391339821
7.93E-05,-1.726487121
8.56E-05,-1.955368204
9.18E-05,-2.127029016
9.81E-05,-2.200597936
0.000104327,-2.216946585
0.000110577,-2.061634421
0.000116827,-1.922670907
0.000123077,-1.612046579
0.000129327,-1.268724955
0.000135577,-0.900880357
0.000141827,-0.508512786
0.000148077,-0.099796566
0.000154327,0.308919654
0.000160577,0.63589263
0.000166827,0.897471011
0.000173077,1.04460885
0.000179327,1.118177769
0.000185577,1.003737228
0.000191827,0.856599389
0.000198077,0.521452088
0.000204327,0.15360749
0.000210577,-0.295980351
0.000216827,-0.843660086
0.000223077,-1.276899279
0.000229327,-1.734661445
0.000235577,-2.135203341
0.000241827,-2.404956046
0.000248077,-2.61748848
0.000254327,-2.682883076
0.000260577,-2.642011454
0.000266827,-2.519396588
0.000273077,-2.323212802
0.000279327,-2.012588475
0.000285577,-1.636569553
0.000291827,-1.195156035
0.000298077,-0.810962789
0.000304327,-0.345026298
0.000310577,0.080038571
0.000316827,0.464231817
0.000323077,0.823902091
0.000329327,1.110003445
0.000335577,1.273489933
0.000341827,1.387930474
0.000348077,1.396104799
0.000354327,1.322535879
0.000360577,1.183572364
0.000366827,1.003737228
0.000373077,0.774856145
0.000379327,0.537800737
0.000385577,0.243525059
0.000391827,0.030992624
0.000398077,-0.197888459
0.000404327,-0.369549271
0.000410577,-0.549384408
0.000416827,-0.639301976
0.000423077,-0.680173598
0.000429327,-0.712870896
0.000435577,-0.671999274
0.000441827,-0.59025603
0.000448077,-0.500338461
0.000454327,-0.38589792
0.000460577,-0.255108729
0.000466827,-0.10797089
0.000473077,0.030992624
0.000479327,0.178130464
0.000485577,0.317093978
0.000491827,0.447883169
0.000498077,0.513277764
0.000504327,0.595021008
0.000510577,0.619543981
0.000516827,0.586846683
0.000523077,0.505103439
0.000529327,0.398837222
0.000535577,0.292571005
0.000541827,0.112735868
0.000548077,-0.067099268
0.000554327,-0.238760081
0.000560577,-0.426769542
0.000566827,-0.59025603
0.000573077,-0.72104522
0.000579327,-0.819137113
0.000585577,-0.900880357
0.000591827,-0.941751979
0.000598077,-0.92540333
0.000604327,-0.917229006
0.000610577,-0.827311437
0.000616827,-0.696522247
0.000623077,-0.582081705
0.000629327,-0.394072244
0.000635577,-0.238760081
0.000641827,-0.05075062
0.000648077,0.137258842
0.000654327,0.325268303
0.000660577,0.505103439
0.000666827,0.619543981
0.000673077,0.717635874
0.000679327,0.799379118
0.000685577,0.799379118
0.000691827,0.791204793
0.000698077,0.709461549
0.000704327,0.578672359
0.000710577,0.43153452
0.000716827,0.235350734
0.000723077,0.014643976
0.000729327,-0.214237107
0.000735577,-0.451292515
0.000741827,-0.712870896
0.000748077,-0.900880357
0.000754327,-1.072541169
0.000760577,-1.20333036
0.000766827,-1.268724955
0.000773077,-1.309596577
0.000779327,-1.285073604
0.000785577,-1.20333036
0.000791827,-1.088889818
0.000798077,-0.941751979
0.000804327,-0.745568193
0.000810577,-0.500338461
0.000816827,-0.263283054
0.000823077,-0.042576295
0.000829327,0.169956139
0.000835577,0.390662898
0.000841827,0.529626413
0.000848077,0.693112901
0.000854327,0.725810198
0.000860577,0.750333171
0.000866827,0.725810198
0.000873077,0.676764252
0.000879327,0.521452088
0.000885577,0.374314249
0.000891827,0.178130464
0.000898077,-0.042576295
0.000904327,-0.255108729
0.000910577,-0.418595217
0.000916827,-0.606604679
0.000923077,-0.770091167
0.000929327,-0.868183059
0.000935577,-0.990797925
0.000941827,-1.05619252
0.000948077,-1.064366845
0.000954327,-1.031669547
0.000960577,-0.949926303
0.000966827,-0.843660086
0.000973077,-0.753742518
0.000979327,-0.598430354
0.000985577,-0.418595217
0.000991827,-0.255108729
0.000998077,-0.148842512
0.001004327,-0.058924944
0.001010577,0.030992624
0.001016827,0.112735868
0.001023077,0.080038571
0.001029327,0.0228183
0.001035577,-0.083447917
0.001041827,-0.214237107
0.001048077,-0.345026298
0.001054327,-0.500338461
0.001060577,-0.680173598
0.001066827,-0.827311437
0.001073077,-0.966274952
0.001079327,-1.031669547
0.001085577,-1.080715494
0.001091827,-1.088889818
0.001098077,-1.097064142
0.001104327,-0.99897225
0.001110577,-0.884531708
0.001116827,-0.753742518
0.001123077,-0.565733057
0.001129327,-0.353200622
0.001135577,-0.140668188
0.001141827,0.055515598
0.001148077,0.284396681
0.001154327,0.43153452
0.001160577,0.63589263
0.001166827,0.717635874
0.001173077,0.815727767
0.001179327,0.856599389
0.001185577,0.856599389
0.001191827,0.807553442
0.001198077,0.758507496
0.001204327,0.652241279
0.001210577,0.505103439
0.001216827,0.341616952
0.001223077,0.161781815
0.001229327,0.047341273
0.001235577,-0.10797089
0.001241827,-0.238760081
0.001248077,-0.328677649
0.001254327,-0.402246569
0.001260577,-0.443118191
0.001266827,-0.451292515
0.001273077,-0.394072244
0.001279327,-0.361374947
0.001285577,-0.271457378
0.001291827,-0.18153981
0.001298077,-0.034401971
0.001304327,0.071864246
0.001310577,0.161781815
